"id","code","name","definition","level","comments","source_id/id","system"
hc_substance.subs_code_105590001_par,"105590001","Substance","Substance (substance)",1,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406455002_par,"406455002","Allergen class","Allergen class (substance)",2,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406472009_par,"406472009","Animal protein and epidermal allergen","Animal protein and epidermal allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406473004_par,"406473004","Contact allergen","Contact allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_410980008_par,"410980008","Dust allergen","Dust allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_709759000_par,"709759000","Helminth antigen","Helminth antigen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406470001_par,"406470001","Insect allergen","Insect allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406468005_par,"406468005","Microorganism allergen","Microorganism allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406467000_par,"406467000","Mite allergen","Mite allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406469002_par,"406469002","Occupational allergen","Occupational allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_406464007_par,"406464007","Pollen allergen","Pollen allergen (substance)",3,,"base.snomed","http://snomed.info"
hc_substance.subs_code_410981007_par,"410981007","Plant extract and epidermal allergen","Plant extract and epidermal allergen (substance)",3,,"base.snomed","http://snomed.info"
